Close,KMO10,KMO20,KMO40,larger_than_KMO10?,shares10,larger_than_KMO20?,shares20,larger_than_KMO40?,shares40
29.43,30.107999999999997,30.059999999999995,29.905250000000002,0.0,1466.3765401757282,0.0,1420.3739627658897,0.0,523.422551770626
29.56,30.031,30.048000000000002,29.895,0.0,1466.3765401757282,0.0,1420.3739627658897,0.0,523.422551770626
29.66,29.945,30.038,29.886000000000003,0.0,1466.3765401757282,0.0,1420.3739627658897,0.0,523.422551770626
29.7,29.878000000000004,30.023000000000003,29.8815,0.0,1466.3765401757282,0.0,1420.3739627658897,0.0,523.422551770626
29.68,29.801,30.000999999999998,29.878499999999995,0.0,1466.3765401757282,0.0,1420.3739627658897,0.0,523.422551770626
29.69,29.735000000000003,29.976,29.874000000000002,0.0,1466.3765401757282,0.0,1420.3739627658897,0.0,523.422551770626
29.7,29.677000000000003,29.9515,29.8745,1.0,1466.3765401757282,0.0,1420.3739627658897,0.0,523.422551770626
29.96,29.669,29.958999999999996,29.883000000000003,1.0,1466.3765401757282,1.0,1420.3739627658897,1.0,523.422551770626
30.01,29.697999999999997,29.9625,29.897250000000003,1.0,1466.3765401757282,1.0,1420.3739627658897,1.0,523.422551770626
30.32,29.770999999999997,29.969,29.91225,1.0,1466.3765401757282,1.0,1420.3739627658897,1.0,523.422551770626
30.37,29.865,29.9865,29.931,1.0,1466.3765401757282,1.0,1420.3739627658897,1.0,523.422551770626
30.0,29.909,29.970000000000006,29.94275,1.0,1466.3765401757282,1.0,1420.3739627658897,1.0,523.422551770626
29.75,29.918,29.9315,29.951749999999997,0.0,1466.3765401757282,0.0,1420.3739627658897,0.0,523.422551770626
30.53,30.000999999999998,29.9395,29.9715,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.21,30.154000000000003,29.977500000000003,30.00475,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.23,30.308000000000003,30.021499999999996,30.04175,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.27,30.464999999999996,30.071000000000005,30.079499999999996,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.36,30.605,30.136999999999993,30.125,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.39,30.743000000000002,30.220500000000005,30.163249999999998,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.47,30.858000000000004,30.3145,30.193,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.37,30.958000000000006,30.4115,30.235750000000003,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.46,31.104000000000003,30.5065,30.277250000000002,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.61,31.290000000000003,30.604000000000003,30.320999999999998,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.52,31.389,30.695,30.358999999999998,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.7,31.438,30.796000000000003,30.398500000000002,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.69,31.483999999999998,30.895999999999997,30.436,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.6,31.517000000000003,30.991000000000003,30.471249999999998,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.71,31.552,31.078500000000002,30.51875,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.7,31.583000000000006,31.163,30.56275,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.9,31.625999999999998,31.241999999999997,30.6055,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.88,31.677,31.317499999999995,30.652000000000005,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.82,31.713,31.408499999999997,30.689249999999998,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
32.13,31.764999999999997,31.527499999999996,30.7295,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
32.25,31.838,31.6135,30.776500000000006,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.92,31.860000000000003,31.649,30.81325,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.75,31.866000000000003,31.675,30.84825,0.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.26,31.832,31.674500000000002,30.872749999999996,0.0,586.5506160702913,0.0,568.1495851063559,1.0,209.36902070825042
31.5,31.811,31.681500000000007,30.909249999999997,0.0,586.5506160702913,0.0,568.1495851063559,1.0,209.36902070825042
31.74,31.814999999999998,31.699,30.959749999999996,0.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.86,31.811,31.7185,31.0165,1.0,586.5506160702913,1.0,568.1495851063559,1.0,209.36902070825042
31.78,31.801,31.739000000000004,31.07525,0.0,1502.3995472222987,1.0,568.1495851063559,1.0,209.36902070825042
31.53,31.772000000000002,31.7425,31.1245,0.0,1502.3995472222987,0.0,1448.288288925717,1.0,209.36902070825042
31.6,31.719,31.742,31.172999999999995,0.0,1502.3995472222987,0.0,1448.288288925717,1.0,209.36902070825042
31.17,31.611,31.7245,31.209750000000003,0.0,1502.3995472222987,0.0,1448.288288925717,0.0,209.36902070825042
31.11,31.53,31.695,31.2455,0.0,1502.3995472222987,0.0,1448.288288925717,0.0,209.36902070825042
31.34,31.488999999999997,31.677500000000002,31.28675,0.0,1502.3995472222987,0.0,1448.288288925717,1.0,209.36902070825042
31.39,31.502000000000002,31.667,31.328999999999997,0.0,1502.3995472222987,0.0,1448.288288925717,1.0,209.36902070825042
30.76,31.428000000000004,31.6195,31.348999999999997,0.0,1502.3995472222987,0.0,1448.288288925717,0.0,209.36902070825042
31.05,31.359,31.587,31.375,0.0,1502.3995472222987,0.0,1448.288288925717,0.0,209.36902070825042
31.25,31.298000000000002,31.5545,31.39825,0.0,1502.3995472222987,0.0,1448.288288925717,0.0,209.36902070825042
