Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2016-08-01,85.44,86.58,85.42,86.41,10419954.0,0.0,1.0,76.741734962914,77.765676651323,76.723771073643,77.612983592526,10419954.0
2016-07-29,84.89,85.79,84.8,85.59,7520867.0,0.0,1.0,76.247728007979,77.056103025145,76.166890506263,76.876464132441,7520867.0
2016-07-28,84.42,84.9795,84.402,84.81,5911575.0,0.0,1.0,75.825576610126,76.328116412464,75.809409109783,76.175872450898,5911575.0
2016-07-27,85.24,85.3,84.32,84.46,7744552.0,0.0,1.0,76.56209607021,76.615987738021,75.735757163774,75.861504388667,7744552.0
2016-07-26,85.68,86.08,85.17,85.27,5377632.0,0.0,1.0,76.957301634158,77.316579419565,76.499222457764,76.589041904116,5377632.0
2016-07-25,85.53,85.8,85.15,85.8,5604454.0,0.0,1.0,76.82257246463,77.06508496978,76.481258568494,77.06508496978,5604454.0
2016-07-22,85.5,85.98,85.45,85.72,6165618.0,0.0,1.0,76.795626630725,77.226759973213,76.750716907549,76.993229412699,6165618.0
2016-07-21,85.02,85.37,84.88,85.26,5471094.0,0.0,1.0,76.364493288237,76.678861350468,76.238746063344,76.580059959481,5471094.0
2016-07-20,85.38,85.73,85.13,85.32,6289008.0,0.6695,1.0,76.687843295103,77.002211357334,76.463294679223,76.633951627292,6289008.0
2016-07-19,85.67,86.18,85.56,86.17,6077431.0,0.0,1.0,76.34921282145,76.803725469272,76.251180681724,76.79481345657,6077431.0
2016-07-18,86.02,86.05,85.7,85.93,4781778.0,0.0,1.0,76.661133266034,76.687869304141,76.375948859557,76.580925151712,4781778.0
2016-07-15,86.25,86.48,85.79,86.01,8491347.0,0.0,1.0,76.866109558189,77.071085850344,76.456156973879,76.652221253332,8491347.0
2016-07-14,86.44,86.89,85.85,85.87,11342573.0,0.0,1.0,77.035437799535,77.436478371143,76.509629050093,76.527453075498,11342573.0
2016-07-13,85.81,86.15,85.41,85.89,7571473.0,0.0,1.0,76.473980999284,76.776989431165,76.117500491188,76.545277100903,7571473.0
2016-07-12,85.49,85.94,85.19,85.75,6649502.0,0.0,1.0,76.188796592807,76.589837164415,75.921436211735,76.420508923069,6649502.0
2016-07-11,85.61,85.95,84.91,85.75,6156824.0,0.0,1.0,76.295740745236,76.598749177117,75.671899856068,76.420508923069,6156824.0
2016-07-08,84.98,85.9,84.77,85.77,6827349.0,0.0,1.0,75.734283944985,76.554189113605,75.547131678234,76.438332948474,6827349.0
2016-07-07,85.23,85.24,84.525,84.83,7905843.0,0.0,1.0,75.957084262545,75.965996275247,75.328787367025,75.600603754449,7905843.0
2016-07-06,85.37,85.5,84.74,85.03,8356546.0,0.0,1.0,76.081852440378,76.197708605509,75.520395640127,75.778844008497,8356546.0
2016-07-05,84.48,85.95,84.45,85.44,11395171.0,0.0,1.0,75.288683309865,76.598749177117,75.261947271757,76.144236529295,11395171.0
2016-07-01,84.52,84.99,84.51,84.78,9530706.0,0.0,1.0,75.324331360674,75.743195957687,75.315419347972,75.556043690937,9530706.0
2016-06-30,83.91,84.8,83.82,84.67,10969296.0,0.0,1.0,74.780698585828,75.573867716341,74.700490471506,75.45801155121,10969296.0
2016-06-29,82.96,83.91,82.91,83.91,7927516.0,0.0,1.0,73.9340573791,74.780698585828,73.889497315588,74.780698585828,7927516.0
2016-06-28,81.44,82.49,80.95,82.46,9257100.0,0.0,1.0,72.579431448335,73.515192782087,72.142742825918,73.48845674398,9257100.0
2016-06-27,81.83,81.89,81.0,81.23,9619036.0,0.0,1.0,72.926999943729,72.980472019943,72.18730288943,72.392279181585,9619036.0
